Last Name,First Name,ORCID
Cobos Cobos,Santiago,NO
Cociuba,Simona,0009-0001-6347-3978
Colby,William D,NO
Colquhoun,Patrick,0000-0002-9015-1405
Coltman,David William,0000-0002-1268-2307
Columbus,Lauren,NO
Comor,Edward,0000-0003-3142-4132
Compton,James,0000-0001-9897-9090
Conley,Tim,0009-0006-7520-3330
Connaughton,Dervla,0000-0003-3466-6305
Connelly,Denise,0000-0001-8138-1746
Connors,Scott,0000-0002-9076-9221
Constas,Styliani,0000-0001-8869-4155
Cookson,Christina,NO
Cool,Derek,0000-0003-1095-3553
Coome,Grant,NO
Cooper,Paul E.,0009-007-9014-5068
Copeland,Jeremy,NO
Corcoran,Patricia,NO
Corneil,Brian,0000-0002-4702-7089
Cornelson,Kirsten,0000-0001-9700-8567
Correa,Rohann,0000-0003-0886-1625
Corrigan,Frank,NO
Cotte,June,0000-0003-0770-8338
Coughlin,Kevin,NO
Cowan,Andrea,NO
Coyle,Michael Coyle,0000-0002-6153-2081
Cregan,Sean,0009-0001-4794-803X
Creuzenet,Carole,0000-0002-7435-5862
Cristancho,Sayra,0000-0002-8738-2130
Crivellaro,Priscila,0000-0003-1600-034X
Crossan,Mary,0000-0002-5635-3978
Crowley,Eileen,0000-0002-9545-4384
Crumley,Tracey,NO
Cubillos Salcedo,Javier,NO
Cuciurean,John,NO
Culham,Jody,0000-0003-0754-2999
Cumming,Robert,0000-0001-6821-7060
Cummins,Helene,0000-0003-1143-1714
Cunningham,Barbara,0000-0002-2032-4999
Cunningham,Ian,0009-0000-3209-5962
Cunningham,Christy,0000-0002-2248-4494
Currie,Beth,NO
Currie,Cheryl,NO
Curtis,Mason,NO
Cyr-Desjardins,Eric,0000-0001-9066-4852
da Silva,Orlando,0000-0001-5006-537X
Da Silva,Keith,NO
Dafe,Charles,NO
Dagnew,Martha,0000-0002-7998-1096
Dagnino,Lina,0000-0003-1483-5159
Dagnone,Robert Vico,NO
Daley,Mark J.,0000-0002-6939-9772
Daley-Ogilvie,Perry Ann,NO
Damjanovski,Sashko,0000-0002-3479-721X
Daniel,Omar,NO
Darling,Mark,0000-0002-5404-2201
Dasgupta,Monidipa,0000-0003-3732-719X
Dash,Deepa,0000-0002-4285-144X
Daub,Olivia,0000-0001-5004-4544
Dave,Sapna,NO
Dave,Sumit,NO
Davey,Ryan,0000-0001-7203-8209
Davies,Lorraine,NO
Davies,Edward T,NO
Davis,Matthew,NO
Davison,Matt,0000-0001-7948-4658
Dawson,William B,NO
Day,Emily,0000-0003-3245-5715
De,Sabe,0000-0001-8417-9877
de Gannes,Nadine,NO
De Lasa,Hugo I,0000-0002-6965-7276
De Moras,Nadine,0009-0000-6326-3172
De Ribaupierre,Sandrine,0000-0001-7096-2289
De Souza,Jonathan,0000-0001-9505-7234
De Tubino Scanavino,Marco,0000-0003-3485-3805
De Vasconcelos Fernandes,Ricardo,NO
De Viveiros,Genevieve,0009-0002-0050-2505
De Vrijer,Barbra,0000-0002-4823-9753
Debassige Ahnungoonhs,Brent,NO
Debicki,Derek,0000-0001-6010-5689
DeCoito,Isha,0000-0002-8315-9150
DeFalco,Thomas,0000-0003-2897-1485
Degen,Ryan,0000-0001-9981-6074
DeGroot,Christopher Thomas,0000-0002-2069-8253
Dekaban,Gregory A.,0000-0002-3087-4660
DeKoter,Rodney,0000-0002-9201-1983
Del Balso,Christopher,NO
Del Pozzo Magana,Blanca,0000-0002-8597-5485
Dela Paz,Jennifer,NO
Delport,Johannes,NO
DeLyzer,Tanya,0000-0003-2403-9543
Demeyere,Gillian Patricia,NO
Demirkaya,Erkan,0000-0003-4525-1789
Dempsey,Brian,0000-0001-6151-0184
Denham,Graham,0009-0003-1421-9118
Denice,Patrick,0000-0002-7997-8313
Denniston,Colin D,0000-0002-6723-0455
Denomme-Welch,Spy,0000-0002-8860-4647
Denstedt,John D.,0000-0001-5836-4200
Deotare,Uday,0000-0001-9391-4204
Desai,Tejal,NO
Desai,Tejas,NO
Descartes ,Lara,0000-0002-5938-1456
Devereux,Joanna,NO
Devlin,Megan,NO
Devo,Alba,0000-0002-1433-1252
Deweyert,Andrew,0009-0004-9404-0659
Dhaliwal,Inderdeep,0000-0003-1795-3855
Dhaliwal,Arash,NO
Dhanvantari,Savita,0000-0001-6453-1386
Dhillon,Ajneet S,0000-0001-9871-9168
Dhir,Achal,0000-0001-5327-6420
Dhir,Shalini L.,0000-0002-9704-192X
Di Guglielmo,John,0000-0002-2439-2737
Diachun,Laura,NO
Diamantouros,Pantelis,0000-0003-3019-3109
Dias,Bryan,NO
DiCecco,Robert,NO
Dick,Caroline,0000-0003-2345-7444
Dick,Frederick Andrew,0000-0002-0047-9985
Dickey,James,0000-0002-4101-835X
Dickey,Chandlee,NO
Dickinson,John Kenneth,0000-0002-6266-7463
Diedrichsen,Jorn,0000-0003-0264-8532
Diemert,Brian,NO
Dikeakos,Dimitrios (Jimmy),0000-0001-8141-5395
DiMattia,Gabriel,0000-0002-2796-9941
Ding,Zhifeng,0000-0001-9252-9320
Diop,Mamadou,0000-0003-1244-7830
Dippel,Christian,0009-0002-1810-7220
DiSalle,Robert,NO
Disher,Brandon,NO
Ditor,David,NO
Dixon,David,NO
Dixon,S. Jeffrey,NO
Dixon,Stephanie,NO
Djordjevic,Bojana,0000-0002-9718-3557
Dobrowlanski,Aldo,0000-0002-4488-1669
Dobson,Howard,NO
Dodbiba,Lorin,NO
Doelman,James,0000-0001-8984-4872
Doering,Michele,NO
Doherty,Alison,0000-0002-3021-7302
Doherty,Timothy J.,0000-0002-5883-3975
Domaratzki,Michael,0000-0001-9129-6676
Dong,Alex,NO
